iter	Passed	Remaining
404	7094	10423
405	7113	10407
406	7128	10386
407	7145	10368
408	7162	10349
409	7178	10330
410	7194	10310
411	7211	10291
412	7227	10272
413	7244	10254
414	7260	10234
415	7277	10216
416	7293	10196
417	7311	10179
418	7327	10159
419	7343	10141
420	7359	10121
421	7375	10102
422	7392	10084
423	7409	10065
424	7428	10050
425	7446	10033
426	7465	10017
427	7483	10000
428	7502	9986
429	7521	9970
430	7537	9950
431	7553	9931
432	7571	9914
433	7588	9896
434	7603	9876
435	7620	9857
436	7638	9841
437	7655	9822
438	7670	9801
439	7684	9779
440	7698	9758
441	7712	9736
442	7728	9716
443	7745	9698
444	7760	9679
445	7778	9661
446	7795	9644
447	7810	9623
448	7826	9604
449	7841	9584
450	7856	9563
451	7872	9545
452	7889	9526
453	7903	9505
454	7918	9484
455	7935	9467
456	7950	9446
457	7965	9426
458	7982	9408
459	7998	9390
460	8016	9372
461	8032	9353
462	8048	9335
463	8065	9317
464	8081	9298
465	8096	9278
466	8112	9259
467	8132	9244
468	8148	9225
469	8164	9206
470	8180	9187
471	8195	9167
472	8211	9148
473	8229	9132
474	8244	9112
475	8259	9092
476	8276	9075
477	8293	9057
478	8310	9039
479	8327	9021
480	8344	9003
481	8361	8985
482	8377	8966
483	8391	8946
484	8406	8926
485	8424	8909
486	8440	8891
487	8455	8871
488	8472	8853
489	8488	8835
490	8506	8818
491	8522	8799
492	8538	8781
493	8555	8763
494	8572	8745
495	8586	8725
496	8601	8705
497	8616	8685
498	8635	8670
499	8651	8651
500	8667	8632
501	8682	8613
502	8700	8597
503	8717	8578
504	8733	8560
505	8750	8543
506	8768	8526
507	8782	8505
508	8799	8488
509	8815	8470
510	8833	8453
511	8847	8432
512	8863	8414
513	8879	8395
514	8896	8378
515	8914	8361
516	8932	8345
517	8949	8327
518	8963	8306
519	8981	8290
520	8999	8273
521	9016	8256
522	9032	8238
523	9048	8219
524	9065	8202
525	9081	8183
526	9097	8165
527	9113	8146
528	9129	8128
529	9147	8112
530	9162	8092
531	9179	8074
532	9196	8057
533	9211	8038
534	9229	8021
535	9245	8003
536	9261	7985
537	9277	7967
538	9296	7950
539	9312	7933
540	9328	7914
541	9344	7896
542	9362	7879
543	9381	7863
544	9397	7845
545	9415	7829
546	9432	7811
547	9449	7793
548	9467	7777
549	9483	7759
550	9502	7743
551	9518	7725
552	9538	7710
553	9557	7694
554	9574	7676
555	9592	7660
556	9608	7641
557	9625	7624
558	9642	7606
559	9659	7589
560	9675	7571
561	9693	7554
562	9708	7535
563	9725	7518
564	9741	7500
565	9757	7481
566	9774	7464
567	9790	7446
568	9805	7427
569	9821	7409
570	9838	7391
571	9853	7373
572	9869	7354
573	9884	7335
574	9899	7316
575	9916	7299
576	9932	7281
577	9950	7265
578	9969	7248
579	9985	7230
580	10003	7213
581	10017	7194
582	10033	7176
583	10048	7157
584	10063	7139
585	10079	7120
586	10094	7102
587	10109	7083
588	10126	7065
589	10142	7048
590	10157	7029
591	10171	7010
592	10187	6991
593	10202	6973
594	10217	6954
595	10234	6937
596	10251	6920
597	10269	6903
598	10287	6887
599	10304	6869
600	10320	6851
601	10336	6833
602	10355	6817
603	10371	6799
604	10388	6782
605	10404	6764
606	10419	6746
607	10437	6729
608	10452	6710
609	10468	6692
610	10484	6674
611	10499	6656
612	10516	6639
613	10533	6622
614	10548	6603
615	10567	6587
616	10584	6570
617	10604	6555
618	10624	6539
619	10639	6521
620	10655	6503
621	10672	6486
622	10689	6468
623	10704	6450
624	10721	6432
625	10737	6414
626	10753	6396
627	10771	6380
628	10790	6364
629	10807	6347
630	10824	6330
631	10843	6314
632	10864	6299
633	10881	6281
634	10898	6264
635	10916	6247
636	10934	6231
637	10951	6214
638	10970	6197
639	10985	6179
640	11003	6162
641	11021	6145
642	11037	6128
643	11054	6111
644	11072	6094
645	11088	6076
646	11107	6060
647	11125	6043
648	11144	6027
649	11161	6010
650	11177	5992
651	11195	5975
652	11211	5957
653	11228	5940
654	11246	5923
655	11260	5905
656	11276	5886
657	11294	5870
658	11309	5852
659	11324	5833
660	11341	5816
661	11359	5799
662	11374	5781
663	11390	5764
664	11408	5747
665	11426	5730
666	11442	5712
667	11460	5696
668	11479	5679
669	11495	5661
670	11514	5645
671	11531	5628
672	11549	5611
673	11567	5595
674	11588	5579
675	11608	5563
676	11628	5547
677	11645	5530
678	11662	5513
679	11679	5496
680	11697	5479
681	11714	5462
682	11731	5445
683	11748	5427
