iter	TotalF1	MultiClass
217	0.5350053713	0.9566775681
218	0.5351624569	0.9564438893
219	0.5352160028	0.9563094025
220	0.5352786428	0.9561516109
221	0.535362372	0.9559669431
222	0.5356187349	0.9558308281
223	0.5355951751	0.9556551386
224	0.5357333343	0.9554708642
225	0.5356962122	0.9553667748
226	0.5358740651	0.9551775543
227	0.536116625	0.9549683417
228	0.5361848931	0.9548289979
229	0.5364258735	0.9545908495
230	0.5364994425	0.9544738823
231	0.5365115794	0.9543283732
232	0.5366199351	0.9541777229
233	0.5367927508	0.953970618
234	0.5369235175	0.9538148414
235	0.5370417514	0.9535687132
236	0.5372526522	0.9533604429
237	0.5372473163	0.9532314381
238	0.537373727	0.9531009972
239	0.5375288425	0.9529002864
240	0.5374393143	0.9527722945
241	0.5374175958	0.9526198978
242	0.5374474058	0.9525015579
243	0.5374420267	0.9523551248
244	0.5376861054	0.9521869952
245	0.5378351829	0.9520642799
246	0.5379250504	0.9518946032
247	0.5380548721	0.9517410234
248	0.5380133596	0.9515781109
249	0.5381461162	0.9514182739
250	0.5382292672	0.9512494793
251	0.5385710198	0.9510714341
252	0.5386840084	0.9508620643
253	0.5387970449	0.9507739111
254	0.5388404245	0.9506268726
255	0.5391057351	0.9504313422
256	0.5391958908	0.9502631596
257	0.5394275202	0.9501568487
258	0.5394901034	0.9500093955
259	0.5395653365	0.9497979951
260	0.5396965221	0.949673614
261	0.5398347056	0.9495575779
262	0.5398023866	0.9494050994
263	0.5399461163	0.9492291807
264	0.5401569903	0.9490675744
265	0.5399999677	0.9488446177
266	0.5401863058	0.9486920833
267	0.5405228452	0.9484970664
268	0.5404153707	0.9483794494
269	0.5403586956	0.948230055
270	0.5404872211	0.948071543
271	0.5405169438	0.9478919053
272	0.5406208529	0.9477615638
273	0.5408838995	0.9474930941
274	0.5409580649	0.9473119472
275	0.5410709673	0.9471468939
276	0.541249198	0.9469036057
277	0.5415688473	0.9467306167
278	0.5417386757	0.9464522333
279	0.5418053394	0.9463553103
280	0.5417678555	0.9462171996
281	0.5419351353	0.9460724631
282	0.5420827065	0.945904022
283	0.5421169169	0.945767813
284	0.5421225786	0.9456430061
285	0.5421830726	0.9454980802
286	0.5423951749	0.9452564619
287	0.5423422237	0.9451298267
288	0.5426005432	0.9449920203
289	0.5428548224	0.9448454391
290	0.5428542737	0.9446761595
291	0.5426824889	0.9445051102
292	0.5431105901	0.9442810176
293	0.542931876	0.9441344998
294	0.5431210222	0.9440112563
295	0.5431618992	0.9438351785
296	0.5432071968	0.9437017317
297	0.5434868101	0.9435874965
298	0.5436787336	0.9434573708
299	0.5438265532	0.9433442492
300	0.5438735774	0.9432098748
301	0.5441212833	0.942981574
302	0.5442356563	0.9427548259
303	0.5444297119	0.9426200949
304	0.5444464257	0.9425003479
305	0.5446233237	0.942216301
306	0.5447013855	0.9420193218
307	0.5448691958	0.9418614255
308	0.5449247307	0.9416797097
309	0.5449556848	0.9415576129
310	0.5452180202	0.9413854794
311	0.5453048848	0.9412644416
312	0.5451668127	0.9410957082
313	0.5451694755	0.9409791037
314	0.545423291	0.9407985781
315	0.5457074079	0.9405943507
316	0.5458955624	0.9404349317
317	0.5457641428	0.9402951861
318	0.5458179543	0.9401802021
319	0.5460206383	0.9400266718
320	0.5460313335	0.939910459
321	0.5460847621	0.9397736511
322	0.5461498106	0.9395799562
323	0.5462018762	0.9394881999
324	0.5464280966	0.9392450112
325	0.5464663745	0.9391549047
326	0.5465412622	0.939016091
327	0.5465615685	0.9388640625
328	0.5466582135	0.9387446258
329	0.5467579629	0.9386053163
330	0.5470876749	0.9383990742
331	0.5470361557	0.9382851264
332	0.5470722869	0.9381524078
333	0.5470941607	0.9380350905
334	0.5471977504	0.9379006149
335	0.5471417692	0.9377700117
336	0.54743619	0.9376628305
337	0.5474280939	0.9375509732
338	0.5476403364	0.937437881
339	0.5477817058	0.9373391922
340	0.548039463	0.9372193619
341	0.5478771249	0.9370657241
342	0.5481139283	0.9369337197
343	0.5481626285	0.9368022333
344	0.5481393862	0.9366803883
345	0.548075537	0.9365041408
346	0.5482464577	0.9363055928
347	0.5482830941	0.9361975808
348	0.5483763541	0.9360368872
349	0.5484610515	0.9358404772
350	0.5484460164	0.935691011
351	0.5483708357	0.9356027103
352	0.5485977878	0.9354573767
353	0.5487418815	0.9352130748
354	0.5488491155	0.9350853861
355	0.5489034608	0.9349810659
356	0.5490719233	0.9348455981
357	0.5492612183	0.934680006
358	0.5493717781	0.9345704583
359	0.549241765	0.9344900083
360	0.5494903467	0.9343969615
361	0.5495940542	0.9341729894
362	0.5496825692	0.9340049621
363	0.5498680367	0.9338971506
364	0.5497628238	0.9338281961
365	0.549860711	0.9336664439
366	0.5499434149	0.9335865204
367	0.5502758075	0.9333462786
368	0.5502585726	0.9332089728
369	0.5504569634	0.9329692041
370	0.550426881	0.9328643243
371	0.5503385997	0.9327214627
372	0.5504203093	0.932631977
373	0.5505381372	0.9324263553
374	0.550488997	0.9323335183
375	0.5505507175	0.9322387614
376	0.5508480505	0.9320447372
377	0.5508216234	0.9319470067
378	0.5509037435	0.9317892352
379	0.5509969331	0.9315879195
380	0.5511716822	0.9314182695
381	0.5512652204	0.9312466939
382	0.5513372468	0.931139145
383	0.5517487955	0.9310132385
384	0.5517481162	0.9308571095
385	0.5517949485	0.9306957554
386	0.5519415448	0.9305478385
387	0.5520004408	0.930409658
388	0.5520881066	0.930279801
389	0.552083562	0.9300934143
390	0.552226546	0.9299152635
391	0.5524676868	0.9298103537
392	0.5527778628	0.929687418
393	0.5527999747	0.9296040153
394	0.552811366	0.9294994633
395	0.5529283514	0.9292258727
396	0.5529838973	0.9291199114
397	0.552924012	0.9289908035
398	0.5528855456	0.9289127296
399	0.5530294484	0.9287524801
400	0.5530732048	0.9286066446
401	0.5532045811	0.9284678907
402	0.5533958197	0.9282757713
403	0.5534665717	0.9282126712
404	0.5536509909	0.928005902
405	0.5535230618	0.9278499329
406	0.5537531023	0.9276930396
407	0.5538081021	0.927505536
408	0.5539394373	0.9274077946
409	0.5541699124	0.9272028372
410	0.554340251	0.927097874
411	0.5542784157	0.9270265037
412	0.5546093178	0.9268538511
413	0.5546488884	0.9267043974
414	0.5546898734	0.9265572146
415	0.5548586582	0.9264622634
416	0.5548271645	0.9263851361
417	0.5550258212	0.926281142
418	0.5551293263	0.9261219666
419	0.5553092367	0.9260211278
420	0.5553627697	0.9258889752
421	0.5555290991	0.92570845
422	0.555691809	0.9255818174
423	0.5557780446	0.9254562039
424	0.5557515789	0.9253954653
425	0.5557556832	0.9252068145
426	0.5557638954	0.9251014653
427	0.5558996419	0.9250234383
428	0.556000813	0.9249265483
429	0.5562644795	0.9247578875
430	0.5564480284	0.9246221207
431	0.5564580722	0.9245411846
432	0.5565963119	0.9244562263
433	0.556550026	0.9243857939
434	0.5567305788	0.9242340881
435	0.556809423	0.9241436541
436	0.556855521	0.9239728717
437	0.5570902729	0.9238176115
438	0.5572159191	0.9237254457
439	0.5573370641	0.923575027
440	0.5574054898	0.9234062799
441	0.5576302665	0.9232949886
442	0.5576474385	0.9232019441
443	0.5580331729	0.9229755622
444	0.5580401531	0.9228683003
445	0.5580959055	0.9227114715
446	0.5581673311	0.9225305424
447	0.5581801569	0.9223830256
448	0.558228657	0.9222760556
449	0.5584724325	0.9221638645
450	0.5585872647	0.9219790136
451	0.5585202645	0.9218864773
452	0.5587702758	0.9217908681
453	0.5590050421	0.9216330247
454	0.5593395711	0.9214384677
455	0.5594470422	0.921303159
456	0.5595328287	0.9212353492
